date,mean_temp_c,precipitation_mm,streamflow_cms
2020-06-17,15.3,0.0,343.0
2020-06-18,16.8,0.0,397.0
2020-06-19,17.8,0.9,451.0
2020-06-20,18.0,11.2,715.0
2020-06-21,17.3,3.2,716.0
2020-06-22,14.3,0.0,606.0
2020-06-23,19.6,3.2,748.0
2020-06-24,18.0,25.0,933.0
2020-06-25,19.9,0.0,749.0
2020-06-26,17.5,0.7,680.0
2020-06-27,17.4,1.4,626.0
2020-06-28,16.4,1.7,527.0
2020-06-29,17.1,0.0,482.0
2020-06-30,15.7,6.1,479.0
2020-07-01,13.2,2.9,467.0
2020-07-02,13.5,0.5,417.0
2020-07-03,13.5,11.7,409.0
2020-07-04,15.0,0.0,302.0
2020-07-05,15.4,0.0,257.0
2020-07-06,16.0,0.0,295.0
2020-07-07,15.3,0.1,341.0
2020-07-08,16.2,0.2,375.0
2020-07-09,16.9,1.7,378.0
2020-07-10,16.8,0.0,410.0
2020-07-11,13.9,5.1,381.0
2020-07-12,16.0,0.9,486.0
2020-07-13,15.6,0.0,382.0
2020-07-14,17.3,0.0,328.0
2020-07-15,19.1,0.0,390.0
2020-07-16,18.4,1.6,527.0
2020-07-17,18.5,0.6,524.0
2020-07-18,19.6,0.0,489.0
2020-07-19,19.8,0.0,478.0
2020-07-20,22.4,0.0,493.0
2020-07-21,22.1,0.0,520.0
2020-07-22,20.4,0.2,521.0
2020-07-23,19.4,0.0,480.0
2020-07-24,17.3,2.8,418.0
2020-07-25,17.6,0.0,359.0
2020-07-26,20.6,0.0,339.0
2020-07-27,22.9,0.0,408.0
2020-07-28,19.8,0.0,470.0
2020-07-29,20.5,0.0,374.0
2020-07-30,22.4,0.0,352.0
2020-07-31,20.6,0.3,416.0
2020-08-01,19.7,0.0,444.0
2020-08-02,19.7,0.0,397.0
2020-08-03,19.7,0.0,370.0
2020-08-04,21.1,0.0,328.0
2020-08-05,20.6,0.0,338.0
2020-08-06,17.7,12.7,416.0
2020-08-07,16.1,1.3,386.0
2020-08-08,17.8,0.0,291.0
2020-08-09,16.9,0.0,248.0
2020-08-10,18.6,0.0,282.0
2020-08-11,16.9,0.0,290.0
2020-08-12,15.3,0.0,222.0
2020-08-13,15.2,0.0,176.0
2020-08-14,16.9,0.0,176.0
2020-08-15,19.5,0.0,225.0
2020-08-16,23.1,0.0,271.0
2020-08-17,24.0,0.5,356.0
2020-08-18,20.2,0.0,368.0
2020-08-19,19.1,0.0,318.0
2020-08-20,17.7,28.7,391.0
2020-08-21,16.7,45.2,970.0
2020-08-22,17.2,0.2,699.0
2020-08-23,16.1,0.0,319.0
2020-08-24,18.2,0.0,238.0
2020-08-25,16.5,0.0,217.0
2020-08-26,16.4,0.0,199.0
2020-08-27,16.9,0.0,185.0
2020-08-28,17.6,0.0,175.0
2020-08-29,16.4,0.0,183.0
2020-08-30,13.5,0.0,165.0
2020-08-31,15.5,0.0,148.0
2020-09-01,17.6,0.0,202.0
2020-09-02,19.2,0.1,355.0
2020-09-03,18.0,0.0,323.0
2020-09-04,20.6,0.0,326.0
2020-09-05,17.2,0.0,274.0
2020-09-06,19.1,0.0,269.0
2020-09-07,20.5,0.0,301.0
2020-09-08,18.6,0.0,221.0
2020-09-09,20.3,0.0,257.0
2020-09-10,21.9,0.0,265.0
2020-09-11,19.2,0.0,290.0
2020-09-12,15.5,0.0,277.0
2020-09-13,13.5,0.0,248.0
2020-09-14,14.5,2.1,175.0
2020-09-15,18.3,1.1,215.0
2020-09-16,19.9,0.0,272.0
2020-09-17,17.7,0.0,289.0
2020-09-18,15.4,0.0,270.0
2020-09-19,16.0,2.8,304.0
2020-09-20,16.2,0.0,266.0
2020-09-21,14.8,1.1,230.0
2020-09-22,17.2,1.4,233.0
2020-09-23,14.6,89.1,479.0
2020-09-24,13.9,66.1,779.0
2020-09-25,14.3,50.0,1030.0
2020-09-26,12.0,2.3,533.0
2020-09-27,13.0,0.0,288.0
2020-09-28,14.4,0.0,225.0
2020-09-29,18.6,0.0,252.0
2020-09-30,18.5,0.0,233.0
2020-10-01,16.6,0.0,217.0
2020-10-02,17.7,0.0,209.0
2020-10-03,15.5,0.0,217.0
2020-10-04,13.5,0.0,212.0
2020-10-05,15.7,0.0,188.0
2020-10-06,15.3,0.0,269.0
2020-10-07,16.2,0.0,263.0
2020-10-08,14.9,0.3,259.0
2020-10-09,14.1,60.1,568.0
2020-10-10,11.9,35.7,1090.0
2020-10-11,7.4,18.1,423.0
2020-10-12,8.0,0.0,320.0
2020-10-13,8.2,38.0,307.0
2020-10-14,8.9,0.0,324.0
2020-10-15,7.2,0.5,222.0
2020-10-16,10.1,14.7,323.0
2020-10-17,10.4,0.0,344.0
2020-10-18,8.9,8.7,235.0
2020-10-19,10.6,0.7,248.0
2020-10-20,8.9,0.1,202.0
2020-10-21,9.3,0.0,158.0
2020-10-22,6.0,0.0,129.0
2020-10-23,4.6,12.6,94.9
2020-10-24,5.6,0.0,79.5
2020-10-25,2.7,0.0,68.5
2020-10-26,3.6,0.3,84.2
2020-10-27,2.1,8.8,86.8
2020-10-28,6.9,9.7,245.0
2020-10-29,10.5,1.3,398.0
2020-10-30,8.6,23.2,456.0
2020-10-31,6.2,0.0,280.0
2020-11-01,8.0,0.0,179.0
2020-11-02,6.3,0.0,159.0
2020-11-03,7.3,54.1,268.0
2020-11-04,10.9,90.8,806.0
2020-11-05,9.1,4.0,876.0
2020-11-06,5.6,0.0,347.0
2020-11-07,3.7,0.0,244.0
2020-11-08,4.2,1.0,164.0
2020-11-09,0.4,5.2,124.0
2020-11-10,2.0,1.4,102.0
2020-11-11,1.3,0.0,82.4
2020-11-12,1.4,20.5,92.6
2020-11-13,1.1,23.4,102.0
2020-11-14,1.6,2.9,113.0
2020-11-15,4.5,21.4,108.0
2020-11-16,3.3,8.6,94.6
2020-11-17,6.4,5.0,159.0
2020-11-18,6.5,2.0,308.0
2020-11-19,5.6,4.0,208.0
2020-11-20,5.9,2.9,157.0
2020-11-21,3.6,4.6,134.0
2020-11-22,2.2,2.3,98.5
2020-11-23,4.2,2.6,99.7
2020-11-24,4.6,2.8,113.0
2020-11-25,4.7,5.3,111.0
2020-11-26,,,84.2
2020-11-27,6.8,37.2,99.7
2020-11-28,5.2,2.2,145.0
2020-11-29,1.2,4.1,97.5
2020-11-30,5.3,15.1,97.3
2020-12-01,2.3,0.0,99.3
2020-12-02,4.7,0.0,94.2
2020-12-03,2.3,0.1,72.4
2020-12-04,6.3,0.0,66.1
2020-12-05,4.1,0.0,64.0
2020-12-06,4.7,0.5,61.4
2020-12-07,7.1,39.9,106.0
2020-12-08,5.1,30.2,359.0
2020-12-09,4.4,0.9,240.0
2020-12-10,3.3,0.0,164.0
2020-12-11,2.7,2.0,126.0
2020-12-12,0.8,0.2,86.2
2020-12-13,0.3,5.0,71.8
2020-12-14,1.7,1.1,83.3
2020-12-15,4.6,27.7,88.8
2020-12-16,5.3,17.2,95.8
2020-12-17,4.6,4.3,113.0
2020-12-18,4.9,45.9,126.0
2020-12-19,3.5,26.9,144.0
2020-12-20,4.8,4.8,135.0
2020-12-21,3.3,7.7,120.0
2020-12-22,0.7,0.3,105.0
2020-12-23,-0.6,0.0,88.3
2020-12-24,-1.4,0.0,71.6
2020-12-25,0.3,16.9,69.1
2020-12-26,3.8,31.9,63.9
2020-12-27,3.4,3.3,68.4
2020-12-28,2.6,2.2,59.6
2020-12-29,0.0,3.6,52.7
2020-12-30,0.5,29.5,60.1
2020-12-31,1.9,7.2,96.9
