model,MAE,RMSE,R2
Persistence Baseline,53.15285714285715,109.59690884587681,0.42618380268759615
Linear Regression,60.86334927178984,83.97366953077847,0.6631299072892749
Random Forest,51.56372174589147,92.58634653245217,0.5904847425854911
