feature,importance
streamflow_cms,0.8500779051635405
precipitation_mm,0.05558809518545498
day_of_year,0.016447331799783558
temp_3day_mean,0.013100262688463125
mean_temp_c,0.012037454138854993
streamflow_lag1,0.011321431160729383
precip_lag1,0.009273141953459779
streamflow_7day_mean,0.007951386296664266
streamflow_lag3,0.006971041516845539
precip_3day,0.00581217548287811
temp_7day_mean,0.005551778985660668
precip_7day,0.004291794531693937
month,0.0015762010959711624
